POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,OC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG
49844512,11,0,0,0,4.12,2.89,271.0,0.0,8.7,53.1,387.8,16.9,,8041,63.14854,23.1774
49844454,15,8,35,57,4.29,3.39,77.4,0.0,3.8,20.7,117.0,10.6,,7137,62.6363,22.95166
49844404,2,5,17,78,4.57,4.09,40.0,0.0,2.0,48.8,38.3,1.0,,7176,62.1946,22.76403
49844400,20,0,0,0,3.61,3.01,366.3,1.0,10.1,51.9,214.4,37.8,,7130,62.15925,22.74927
49844338,3,31,58,11,5.31,4.55,45.3,0.0,3.2,29.2,185.9,9.5,,6862,61.61133,22.52557
49844302,3,38,50,12,6.71,6.17,25.7,2.0,2.0,58.7,175.0,22.1,,6840,61.2931,22.3996
49844296,4,23,73,4,5.91,5.16,23.0,0.0,1.9,48.1,364.6,9.5,,6815,61.23979,22.37921
49843504,6,6,14,80,6.74,6.4,7.7,2.0,0.8,14.7,89.3,4.0,,17482,54.22075,20.2012
49843216,4,1,10,88,4.98,4.44,6.4,0.0,0.7,23.6,32.4,3.9,,16868,51.66052,19.61358
49843032,4,16,81,3,5.32,4.37,22.0,0.0,1.9,13.6,159.0,4.8,,16836,50.02235,19.27911
49842892,7,21,64,14,7.28,6.95,60.8,70.0,4.8,12.6,80.2,37.7,,20973,48.77452,19.04326
49842744,5,19,67,14,8.06,7.54,15.0,219.0,1.2,0.0,117.7,14.8,,12485,47.453983,18.809671
49842726,4,22,66,12,7.85,7.47,23.7,73.0,2.4,34.3,242.2,25.3,,12486,47.293251,18.78227
49841970,6,29,15,56,8.04,7.27,7.6,4.0,0.8,21.3,277.1,20.5,,14478,40.519551,17.801636
49825168,3,2,32,66,5.42,4.63,14.5,1.0,0.7,0.0,35.6,1.0,,8217,68.92371,26.4669
49824592,5,13,58,29,5.68,5.28,32.0,2.0,2.2,31.3,295.5,8.8,,7780,63.85794,23.46367
49824538,31,0,0,0,3.79,2.88,343.9,0.0,7.8,30.3,432.0,75.6,,8045,63.38136,23.24221
49824434,8,12,64,23,5.46,4.9,13.0,0.0,1.3,22.2,45.0,8.1,,7141,62.46249,22.83806
49824430,17,29,56,15,4.53,3.65,163.2,1.0,8.2,23.5,103.9,19.1,,7142,62.42758,22.82288
49824426,3,20,74,7,5.85,5.04,54.6,0.0,3.1,48.2,326.9,9.2,,7143,62.39223,22.80794
49824390,39,0,0,0,4.1,3.19,384.2,1.0,14.5,71.1,159.5,26.0,,7129,62.07413,22.67506
49824376,26,8,33,59,4.84,3.98,37.8,0.0,1.9,37.1,62.5,6.0,,7104,61.95039,22.62423
49824304,23,0,0,0,3.59,2.77,468.0,0.0,12.7,43.9,371.1,25.1,,6841,61.31386,22.36995
49824264,2,0,0,0,3.46,2.99,436.8,1.0,23.1,72.6,315.7,27.9,,6476,60.96015,22.23358
49824240,4,41,23,36,6.46,5.73,31.7,1.0,2.2,28.8,90.5,24.0,,6526,60.74784,22.15347
49823508,32,0,0,0,3.79,3.47,403.2,0.0,18.6,26.1,94.7,6.9,,17468,54.25888,20.17959
49823454,3,5,17,79,5.27,4.41,10.8,0.0,0.9,63.5,36.8,1.0,,17490,53.77914,20.06293
49823418,7,10,34,56,5.46,4.72,12.3,0.0,1.1,39.0,198.0,4.2,,17219,53.45923,19.9869
49823260,6,2,4,94,4.47,4.03,8.2,1.0,0.9,82.4,41.7,3.1,,16221,52.05437,19.66908
49823184,7,6,39,55,6.08,5.54,9.8,0.0,1.2,16.3,34.1,10.8,,16323,51.37821,19.52478
49822986,30,24,38,38,5.78,4.88,24.0,1.0,2.2,13.0,78.0,14.0,,16860,49.61472,19.17246
49822900,39,20,60,20,7.06,6.89,150.2,333.0,8.8,25.0,78.9,84.3,,20974,48.84806,19.02925
49822810,7,28,66,6,5.78,5.09,11.5,0.0,1.2,15.3,126.0,17.2,,12249,48.045222,18.885287
49822698,5,23,41,35,7.81,7.44,22.7,52.0,2.2,96.4,551.0,24.1,,12386,47.04533,18.71396
49822680,5,23,70,8,7.94,7.36,21.9,52.0,1.9,0.0,143.7,23.6,,12266,46.88455,18.68721
49822626,5,23,74,3,7.91,7.43,20.0,59.0,2.0,0.0,182.0,23.1,,62058,46.40206,18.60819
49822572,2,28,70,2,8.08,7.38,16.6,52.0,1.8,41.1,537.1,23.2,,12548,45.91936,18.531
49821982,7,33,21,46,8.13,7.49,9.7,64.0,1.1,58.2,541.8,20.1,,14479,40.62932,17.791536
49805122,8,12,26,63,4.1,3.6,46.3,0.0,2.0,10.6,53.8,10.7,,8213,68.52498,26.1266
49804816,8,21,71,8,4.04,3.69,100.9,0.0,7.7,20.1,87.8,8.9,,8221,65.83611,24.4357
49804608,2,1,11,88,4.86,4.48,18.7,0.0,1.6,58.8,25.4,4.1,,7776,64.00255,23.49104
49804360,24,19,56,25,5.27,4.53,48.3,0.0,2.3,31.2,87.1,11.4,,6676,61.81216,22.52949
49804234,35,3,12,85,4.59,3.78,30.7,0.0,1.1,38.2,50.4,7.4,,6483,60.69785,22.0976
49803514,4,7,26,67,4.26,3.42,29.5,0.0,1.6,0.0,40.5,9.9,,17265,54.3147,20.16229
49803478,5,13,20,68,6.01,5.52,7.6,0.0,0.9,18.5,54.4,7.6,,17251,53.99498,20.08611
49803412,19,4,13,82,4.92,4.43,14.4,1.0,1.4,91.3,81.6,3.4,,17216,53.40845,19.94452
49803394,6,3,10,87,4.75,4.22,11.4,0.0,0.9,47.5,35.9,1.0,,17570,53.24837,19.90732
49803376,6,4,15,82,4.83,3.96,13.3,0.0,1.0,71.3,38.4,3.0,,17591,53.08835,19.87037
49803232,6,5,32,62,6.24,5.69,13.0,1.0,1.2,32.0,42.7,5.9,,16864,51.80762,19.58651
49803118,4,6,7,87,5.32,4.69,5.8,0.0,0.6,43.4,45.5,3.9,,16894,50.79288,19.3755
49803016,5,21,71,8,5.55,4.7,15.5,2.0,1.6,76.0,530.8,1.0,,16858,49.88435,19.19612
49802926,7,32,59,9,7.44,6.91,22.5,19.0,2.7,44.0,232.0,22.7,,20903,49.08211,19.04475
49802916,25,23,60,17,3.94,3.58,110.4,0.0,6.0,38.5,177.6,12.4,,20902,48.99292,19.02832
49802844,2,26,33,41,6.97,6.42,11.5,0.0,1.3,38.0,257.3,47.0,,20936,48.35075,18.91216
49802674,1,21,18,61,7.82,7.41,26.3,79.0,2.5,0.0,173.8,20.3,,12262,46.83295,18.65215
49802596,12,19,75,6,8.08,7.59,10.5,168.0,0.9,10.8,94.0,15.4,,12557,46.13601,18.53939
49801954,7,20,33,47,8.19,7.55,15.7,159.0,1.6,16.7,473.6,20.6,,14474,40.37931,17.73726
49784610,4,2,2,96,4.08,3.23,15.8,1.0,0.8,16.7,16.4,1.0,,7774,64.02368,23.4595
49784578,12,4,29,67,4.58,3.77,37.5,0.0,1.8,32.1,95.9,5.9,,8072,63.74144,23.3269
49784574,22,5,44,51,4.59,4.23,22.1,0.0,1.9,43.8,71.4,3.5,,8071,63.70593,23.30988
49784520,14,0,0,0,4.16,3.07,213.8,0.0,8.2,65.8,286.2,15.3,,8044,63.22919,23.09239
49784460,1,0,0,0,3.81,3.41,437.7,0.0,21.7,15.4,177.4,32.2,,43036,62.69917,22.85978
49784370,14,12,54,35,4.46,3.52,61.7,1.0,2.5,0.0,86.3,17.3,,6675,61.90376,22.52794
49784366,5,4,21,75,5.9,5.33,183.1,1.0,7.0,64.3,71.9,21.7,,6674,61.86839,22.51363
49784340,32,7,22,72,4.01,3.19,77.1,1.0,2.4,29.4,142.8,16.5,,6891,61.63848,22.42151
49784322,22,3,19,77,3.95,3.25,51.2,1.0,1.6,15.6,60.5,9.1,,6845,61.47939,22.35876
49784290,14,6,17,77,4.17,3.27,137.8,0.0,5.1,34.8,133.6,11.7,,6816,61.19627,22.24876
49784286,11,7,55,38,3.93,3.22,85.8,0.0,3.8,15.8,73.4,9.7,,6817,61.16095,22.23516
49784244,2,0,0,0,3.98,3.23,427.2,1.0,15.5,12.7,280.5,42.8,,6525,60.78934,22.09456
49784208,2,63,29,8,5.84,4.89,36.5,1.0,2.6,17.2,319.7,19.5,,6530,60.47084,21.97681
49784196,17,34,34,32,5.59,4.79,22.8,1.0,2.0,83.5,255.5,12.4,,6523,60.36466,21.93831
49783488,5,5,19,75,4.97,4.34,8.8,0.0,1.0,57.1,146.2,2.2,,17250,54.08621,20.07541
49783426,9,7,31,61,6.52,6.14,25.6,1.0,2.1,53.6,187.6,9.8,,17220,53.53526,19.94386
49783308,5,7,18,76,7.61,7.23,21.4,14.0,2.3,10.1,33.9,17.0,,17605,52.4861,19.7046
49783246,6,8,17,75,5.03,4.5,13.3,0.0,1.5,32.1,32.1,7.8,,16863,51.93455,19.58436
49783236,12,8,23,69,7.41,7.01,34.9,35.0,2.5,79.5,519.2,18.8,,16847,51.84558,19.56534
49783174,7,4,9,87,4.96,4.1,11.2,0.0,0.8,46.6,20.2,1.0,,16319,51.29379,19.44923
49782972,19,24,47,29,5.34,4.42,31.4,1.0,2.7,0.0,118.9,12.7,,16855,49.49444,19.09393
49782958,42,32,47,21,7.2,6.7,29.6,3.0,2.5,0.0,213.2,30.8,many stones,20957,49.3696,19.07047
49782822,7,44,53,3,6.82,6.1,14.4,2.0,1.6,21.2,309.2,26.9,,20939,48.15661,18.85071
49782792,12,29,53,18,5.41,5.01,33.1,1.0,2.6,22.8,265.3,17.8,,12234,47.88883,18.80407
49782732,5,23,67,10,7.65,7.26,18.4,4.0,1.8,35.7,182.9,22.8,,12482,47.35319,18.71245
49782706,2,22,50,27,7.8,7.47,19.5,14.0,1.8,30.5,254.5,22.1,,12498,47.121005,18.673518
49782688,1,21,66,14,7.89,7.56,24.6,121.0,2.2,0.0,90.8,23.7,,12388,46.96022,18.64686
49782670,5,32,32,36,7.66,7.31,56.7,216.0,5.0,24.1,227.6,33.4,,12494,46.7994,18.62039
49782666,14,21,34,45,7.7,7.47,54.9,269.0,4.3,12.5,345.7,33.6,,12496,46.76368,18.61453
49782648,15,22,69,9,8.01,7.5,17.9,88.0,1.6,0.0,169.5,19.5,,62007,46.60273,18.58831
49764590,8,25,70,5,4.86,4.34,133.7,1.0,8.2,0.0,95.5,14.0,,7773,63.85058,23.33622
49764330,42,11,26,63,4.3,3.52,181.7,2.0,5.0,47.6,683.7,24.3,large pieces of plants and many stones,6895,61.55322,22.34962
49763466,13,4,12,84,4.91,4.58,17.5,1.0,1.6,54.9,73.6,5.8,,17489,53.89323,19.99809
49763448,1,0,0,0,4.8,4.49,457.2,1.0,24.0,40.6,149.3,112.1,,17222,53.73324,19.96002
49763322,3,11,40,49,7.4,6.91,14.2,9.0,1.6,75.1,483.4,11.9,,17599,52.61301,19.70296
49763304,4,2,9,89,4.81,4.1,17.5,1.0,1.3,50.3,45.3,1.0,,17608,52.4529,19.66753
49763232,9,5,27,68,4.8,4.28,20.4,0.0,1.8,85.6,81.3,4.9,,16846,51.81233,19.52892
49763106,1,7,10,83,6.31,5.91,5.8,0.0,0.5,12.3,23.3,4.0,,16897,50.69059,19.29771
49762890,2,27,55,18,5.76,4.85,47.0,3.0,3.9,72.9,532.1,13.9,,20894,48.76545,18.93187
49762854,31,22,41,38,6.2,5.65,36.4,0.0,3.2,31.9,189.3,23.5,,20979,48.44428,18.87431
49744598,16,0,0,0,4.33,3.35,425.7,0.0,13.6,219.8,948.8,33.9,,8079,63.92464,23.32969
49744548,2,21,54,25,4.6,4.05,97.2,0.0,5.6,30.7,116.0,8.3,,8064,63.48315,23.12573
49744462,25,5,10,85,4.12,3.42,122.7,0.0,5.7,11.7,0.0,16.4,,43035,62.72337,22.79079
49744436,6,6,21,74,3.96,3.05,82.7,0.0,4.5,20.6,98.9,7.3,,7139,62.49361,22.69339
49744422,2,0,0,0,4.07,3.12,480.0,0.0,14.8,20.5,328.9,26.4,,7177,62.36985,22.64158
49744418,33,2,9,89,4.31,3.76,42.4,0.0,1.2,0.0,42.4,5.1,,7178,62.33451,22.62686
49744408,16,3,18,79,4.12,3.31,21.1,1.0,1.0,0.0,38.0,4.8,,7179,62.24611,22.59027
49744400,4,6,79,16,5.33,4.58,50.2,1.0,2.8,45.2,24.0,8.0,,7180,62.17537,22.56113
49744332,27,0,0,0,4.27,3.5,242.6,0.0,8.6,0.0,87.6,23.8,,6681,61.57403,22.31959
49744314,10,0,0,0,4.45,3.86,460.1,0.0,24.4,20.2,242.4,25.0,,6844,61.41496,22.25749
49744278,6,0,0,0,4.03,3.23,230.3,0.0,10.8,18.0,236.3,20.7,,6857,61.09631,22.13516
49744242,9,30,49,20,5.69,4.88,21.2,0.0,1.7,28.2,161.7,7.6,,6503,60.77787,22.016
49744238,24,0,0,0,3.7,2.72,519.3,6.0,11.8,29.2,334.2,63.3,,6524,60.74236,22.00264
49744220,14,34,33,34,6.99,6.47,20.5,1.0,1.7,62.8,231.3,15.6,,6479,60.58308,21.94331
49743428,8,11,25,64,6.9,6.26,44.8,2.0,3.6,42.6,81.1,25.2,,17217,53.55794,19.88817
49743338,6,4,21,76,6.05,5.09,6.1,0.0,0.7,34.5,30.4,3.8,,17597,52.7577,19.70529
49743302,3,1,14,84,4.59,3.86,10.2,1.0,0.8,46.6,29.7,4.6,,17607,52.4375,19.63444
49743238,11,3,47,50,6.03,5.41,10.6,0.0,1.0,26.9,59.7,8.9,,16862,51.86806,19.51147
49743234,7,7,27,65,3.53,3.06,59.3,1.0,3.5,87.9,76.2,9.8,,16861,51.83246,19.50392
49743158,4,9,41,50,5.42,4.46,14.9,0.0,1.5,16.2,58.4,5.5,,16314,51.15595,19.36307
49742986,9,11,24,65,3.54,2.9,79.3,1.0,3.8,0.0,115.4,14.7,,16856,49.62363,19.0625
49742816,13,32,34,34,5.7,4.88,27.4,0.0,2.3,0.0,360.4,22.2,,20938,48.10735,18.78794
49742784,3,23,59,17,7.22,7.12,15.8,10.0,1.5,34.6,155.5,21.8,,20803,47.82172,18.73858
49742730,14,29,48,23,7.99,7.47,17.3,73.0,1.8,0.0,182.1,25.8,,12465,47.33954,18.65689
49742708,7,17,30,53,7.88,7.4,15.3,11.0,1.3,22.2,143.5,17.1,,12499,47.143045,18.624096
49742582,26,30,69,1,7.56,7.22,9.2,2.0,1.0,32.7,152.1,21.0,,12547,46.01698,18.4425
